,customer_id,location,gender,signup_date,sale_id,product_id,timestamp,quantity,price,revenue,name,category,supplier
0,1,Ibadan,Male,2020-12-25,164,56,2023-09-08,4,8313,33252,Product_56,Groceries,Supplier A
1,1,Ibadan,Male,2020-12-25,424,28,2022-11-19,4,27160,108640,Product_28,Groceries,Supplier D
2,1,Ibadan,Male,2020-12-25,498,44,2021-11-30,2,24321,48642,Product_44,Books,Supplier B
3,1,Ibadan,Male,2020-12-25,586,41,2021-11-22,4,11883,47532,Product_41,Groceries,Supplier D
4,1,Ibadan,Male,2020-12-25,841,68,2021-10-08,1,14788,14788,Product_68,Electronics,Supplier A
5,1,Ibadan,Male,2020-12-25,1546,81,2021-02-01,3,3593,10779,Product_81,Groceries,Supplier C
6,1,Ibadan,Male,2020-12-25,1924,85,2022-04-24,4,48351,193404,Product_85,Fashion,Supplier C
7,1,Ibadan,Male,2020-12-25,2505,93,2022-01-30,1,34950,34950,Product_93,Groceries,Supplier B
8,1,Ibadan,Male,2020-12-25,3064,55,2023-02-13,1,44564,44564,Product_55,Books,Supplier A
9,1,Ibadan,Male,2020-12-25,4609,84,2022-11-08,3,44913,134739,Product_84,Home,Supplier A
10,1,Ibadan,Male,2020-12-25,4680,47,2023-04-16,1,21695,21695,Product_47,Home,Supplier B
11,2,Port Harcourt,Female,2022-06-18,769,2,2023-11-17,4,26623,106492,Product_2,Groceries,Supplier D
12,2,Port Harcourt,Female,2022-06-18,1049,86,2022-08-12,4,28587,114348,Product_86,Fashion,Supplier C
13,2,Port Harcourt,Female,2022-06-18,1202,55,2021-04-15,3,44564,133692,Product_55,Books,Supplier A
14,2,Port Harcourt,Female,2022-06-18,2161,29,2022-12-20,1,5584,5584,Product_29,Electronics,Supplier B
15,2,Port Harcourt,Female,2022-06-18,2411,46,2023-02-19,2,25360,50720,Product_46,Toys,Supplier C
16,2,Port Harcourt,Female,2022-06-18,2492,28,2021-05-29,4,27160,108640,Product_28,Groceries,Supplier D
17,2,Port Harcourt,Female,2022-06-18,2563,26,2023-02-03,3,35650,106950,Product_26,Fashion,Supplier C
18,2,Port Harcourt,Female,2022-06-18,2577,15,2023-12-03,3,1507,4521,Product_15,Books,Supplier D
19,2,Port Harcourt,Female,2022-06-18,3039,74,2021-02-20,1,42346,42346,Product_74,Toys,Supplier D
20,2,Port Harcourt,Female,2022-06-18,4157,43,2021-06-26,3,2853,8559,Product_43,Home,Supplier D
21,2,Port Harcourt,Female,2022-06-18,4337,100,2022-04-28,1,11925,11925,Product_100,Home,Supplier A
22,3,Kano,Female,2020-10-07,450,75,2023-12-27,1,36112,36112,Product_75,Electronics,Supplier C
23,3,Kano,Female,2020-10-07,833,99,2023-02-01,2,20482,40964,Product_99,Fashion,Supplier B
24,3,Kano,Female,2020-10-07,1973,82,2021-10-16,3,12222,36666,Product_82,Home,Supplier A
25,3,Kano,Female,2020-10-07,2209,84,2022-04-21,3,44913,134739,Product_84,Home,Supplier A
26,3,Kano,Female,2020-10-07,2688,70,2023-09-11,3,7040,21120,Product_70,Home,Supplier A
27,3,Kano,Female,2020-10-07,2734,83,2022-08-10,4,22542,90168,Product_83,Fashion,Supplier B
28,3,Kano,Female,2020-10-07,4829,94,2022-06-11,1,32696,32696,Product_94,Electronics,Supplier C
29,3,Kano,Female,2020-10-07,4926,78,2023-08-12,1,23911,23911,Product_78,Books,Supplier D
30,4,Port Harcourt,Male,2021-10-28,220,42,2021-09-28,3,49646,148938,Product_42,Groceries,Supplier A
31,4,Port Harcourt,Male,2021-10-28,1175,4,2023-01-17,2,10677,21354,Product_4,Electronics,Supplier C
32,4,Port Harcourt,Male,2021-10-28,1507,38,2021-10-31,3,8573,25719,Product_38,Home,Supplier A
33,4,Port Harcourt,Male,2021-10-28,1902,46,2022-05-17,4,25360,101440,Product_46,Toys,Supplier C
34,4,Port Harcourt,Male,2021-10-28,1987,96,2021-07-17,4,7924,31696,Product_96,Books,Supplier B
35,4,Port Harcourt,Male,2021-10-28,2005,67,2023-11-22,2,36624,73248,Product_67,Electronics,Supplier A
36,4,Port Harcourt,Male,2021-10-28,3140,47,2022-06-12,4,21695,86780,Product_47,Home,Supplier B
37,4,Port Harcourt,Male,2021-10-28,4854,11,2023-07-15,1,7509,7509,Product_11,Electronics,Supplier D
38,4,Port Harcourt,Male,2021-10-28,4873,39,2022-05-31,2,9577,19154,Product_39,Fashion,Supplier A
39,5,Port Harcourt,Male,2020-04-02,1356,9,2022-08-09,4,35332,141328,Product_9,Electronics,Supplier A
40,5,Port Harcourt,Male,2020-04-02,1398,59,2022-10-15,1,28070,28070,Product_59,Home,Supplier C
41,5,Port Harcourt,Male,2020-04-02,1734,28,2021-11-16,3,27160,81480,Product_28,Groceries,Supplier D
42,5,Port Harcourt,Male,2020-04-02,2077,90,2023-02-19,3,16835,50505,Product_90,Home,Supplier D
43,6,Abuja,Female,2021-11-02,367,33,2023-09-28,1,18771,18771,Product_33,Electronics,Supplier D
44,6,Abuja,Female,2021-11-02,846,93,2021-10-29,4,34950,139800,Product_93,Groceries,Supplier B
